tconst	averageRating	numVotes
tt10127406	7.0	7
tt10127582	7.3	11
tt10127726	7.2	82
tt10127968	9.0	11
tt10128098	2.1	189
tt10141612	7.2	95
tt1014221	9.0	8
tt1014785	5.5	872
tt10157596	3.1	59
tt10157638	7.1	30
tt10157642	8.4	33
tt10160560	7.3	19
tt10162638	3.5	9
tt1017844	7.4	81
tt1018501	6.2	9771
tt10189448	5.8	24
tt10189508	5.7	26
tt1019073	4.7	13
tt10195612	7.1	175
tt10196152	7.0	94
tt1020922	6.4	34
tt1020929	7.5	264
tt1021041	5.0	94
tt1021508	8.7	11
tt10224730	5.0	5
tt1022932	7.2	8
tt1022937	7.1	31
tt10235794	7.5	43
tt10236660	8.3	10
tt10239224	8.1	56
tt10241830	6.0	8
tt10245786	7.6	84
tt1025537	2.8	15
tt10255532	7.8	20
tt1025770	6.8	34
tt10258024	7.8	5
tt10264328	6.0	9
tt10270566	4.0	14
tt10295228	1.0	450
tt10295494	4.5	17
tt10305356	1.8	24
tt10305452	2.1	134
tt10305548	6.9	73
tt1031782	5.7	93
tt10321842	8.5	70
tt10322304	8.6	3035
tt10322964	4.4	39
tt10324336	5.6	122
tt10324344	6.3	91
tt10340590	8.5	12
tt1034915	7.3	24
tt10369404	9.0	9
tt10405150	1.8	103
tt1041672	7.0	23
tt10423022	4.4	179
tt10438096	7.1	55
tt10446570	7.9	15
tt10447116	6.2	65
tt1045793	6.1	21
tt10458306	7.0	7
tt10462996	7.9	19
tt10466876	6.5	21
tt10467640	7.7	876
tt10485750	6.1	6677
tt10487004	6.8	466
tt1049302	6.3	36
tt10502574	7.0	6
tt10530622	7.3	76
tt1053637	4.4	65
tt1056155	5.2	7
tt10562676	5.4	241
tt1056536	4.7	132
tt10573354	5.2	135
tt10574210	7.4	78
tt10585676	7.7	20
tt1059120	9.2	8
tt1059475	7.8	18988
tt10609012	8.6	64
tt10612444	6.2	43
tt10612648	7.1	43
tt1062187	4.0	86
tt10623218	8.0	219
tt1067781	5.3	31
