tconst	parentTconst	seasonNumber	episodeNumber
tt27146730	tt27114042	1.0	3.0
tt33555922	tt33522185	1.0	1743.0
tt3412358	tt2059823		
tt4965314	tt4364478		
tt8511002	tt0442646		
tt3506320	tt1635327	7.0	10.0
tt5526684	tt2604124	5.0	3803.0
tt1659018	tt1018501	4.0	23.0
tt13881076	tt0149434	2.0	8.0
tt14246358	tt0179572	1.0	11.0
tt35000523	tt31951176	1.0	280.0
tt0732051	tt0108968	4.0	19.0
tt0609074	tt0058815	1.0	25.0
tt10367870	tt7401524	1.0	465.0
tt28671932	tt15801814		
tt3394562	tt3381618	1.0	4.0
tt18272038	tt18183178	1.0	2.0
tt3346088	tt0484918	9.0	58.0
tt2227587	tt0414740		
tt1064083	tt1059120	1.0	2.0
tt13658058	tt9458840		
tt11889732	tt8866654	1.0	10.0
tt25605044	tt2062925	5.0	2.0
tt10394388	tt0441074	60.0	13.0
tt5532170	tt0211143	4.0	88.0
tt32341947	tt15866910	1.0	796.0
tt2158804	tt0088580	1.0	6405.0
tt28653136	tt14214796	7.0	38.0
tt2172325	tt2133559	1.0	9.0
tt15008434	tt10241830	1.0	397.0
tt15985362	tt15941254		
tt27432168	tt2524936	2.0	21.0
tt10353484	tt7112704	1.0	1372.0
tt28458898	tt0464617	1.0	40.0
tt5614860	tt5555864	1.0	7.0
tt3645042	tt2282679		
tt29425846	tt1743990	15.0	2.0
tt7425004	tt5495778	1.0	53.0
tt3577786	tt1506099	9.0	9.0
tt3347622	tt0302161	3.0	37.0
tt7436698	tt0354268		
tt18230332	tt0375446	1.0	5222.0
tt0909398	tt0297494	4.0	10.0
tt35746677	tt35682577		
tt4157230	tt2254566	6.0	71.0
tt6555150	tt0835010	29.0	2.0
tt1498603	tt0429290	4.0	6.0
tt32245624	tt14721574		
tt2777292	tt2079265		
tt1154906	tt0135111	1.0	22.0
tt17067328	tt13998320	4.0	9.0
tt8885988	tt7890896	1.0	8.0
tt1122331	tt0069602	28.0	5.0
tt7897978	tt0397781	1.0	62.0
tt28181768	tt27685226	1.0	1.0
tt11186286	tt10162654	1.0	53.0
tt2576772	tt0111920		
tt10466876	tt9122526	1.0	66.0
tt1748728	tt1726832	1.0	6.0
tt14793994	tt14695428	1.0	28.0
tt11681456	tt11663916	1.0	1.0
tt14553164	tt8765742	1.0	109.0
